sinr_db,mcs_0_bler,mcs_0_count,mcs_2_bler,mcs_2_count,mcs_4_bler,mcs_4_count,mcs_6_bler,mcs_6_count,mcs_8_bler,mcs_8_count,mcs_10_bler,mcs_10_count
-30.0,1.0,343,1.0,331,1.0,343,1.0,363,1.0,339,1.0,335
-28.0,1.0,404,1.0,363,1.0,353,1.0,363,1.0,370,1.0,370
-26.0,0.9995817635643958,378,1.0,404,1.0,391,1.0,386,1.0,437,1.0,386
-24.0,0.9989984974862668,448,1.0,437,1.0,413,1.0,437,1.0,426,1.0,444
-22.0,0.9977722882624473,466,0.9997110677766805,491,1.0,448,1.0,488,1.0,448,1.0,428
-20.0,0.9949414782371384,505,0.9991312868251551,491,1.0,525,1.0,533,1.0,524,1.0,515
-18.0,0.9890530110583037,559,0.9981065159197249,546,0.9998026353189375,525,1.0,530,1.0,584,1.0,589
-16.0,0.9756532901549304,558,0.9957265245788861,564,0.9992270053766549,542,1.0,554,1.0,510,1.0,556
-14.0,0.9479719325229302,545,0.990412162068387,559,0.9983126428874203,540,0.9998258849491686,574,1.0,538,1.0,561
-12.0,0.8911011434723296,519,0.9788711049456132,556,0.996249929376525,588,0.999291436357967,544,1.0,569,1.0,544
-10.0,0.7859155937165941,546,0.9546644005110575,560,0.9914494491758467,546,0.9984736887857175,569,0.999947030721179,551,1.0,573
-8.0,0.624880159652233,606,0.9065895498803037,568,0.9814034753348616,607,0.9965417458349828,581,0.999430204473366,553,1.0,556
-6.0,0.43138072378498715,559,0.8124426530069974,530,0.9601638034713177,538,0.9922476143751829,520,0.998697719928396,551,1.0,568
-4.0,0.2548972222582918,554,0.6596252156582114,562,0.9136378342603192,596,0.9828601859656194,562,0.9971024278206839,551,0.9995610404400314,560
-2.0,0.13495765426963366,545,0.46656425229870274,575,0.830552707391609,549,0.9624754318915821,526,0.993637586288412,579,0.9989329089677884,567
0.0,0.06508484029315996,552,0.28368319533624187,545,0.6872830927003174,523,0.9209988166906086,496,0.9861999368330537,530,0.9976767869180269,542
2.0,0.031144093683248362,510,0.15523060409017214,521,0.4974156929406858,519,0.8395140263644495,560,0.969262790921096,533,0.9948905035950345,527
4.0,0.01392965940572591,569,0.07654499464233476,535,0.3093348115897782,577,0.7049381972286743,566,0.9353956541272345,553,0.9884010447006001,548
6.0,0.006476829447727645,546,0.03564441712139625,536,0.17068432919848034,540,0.5165373898465689,538,0.8653958485435013,546,0.9743087648734629,543
8.0,0.002085279321479574,543,0.01634340652453272,580,0.08483156781363038,576,0.3272034903601624,521,0.7459170649704288,512,0.9463729277265398,545
10.0,1.0000000000000002e-12,522,0.0074920669109735565,469,0.03997050698129081,494,0.1813148705217136,552,0.5687576660950566,537,0.8860476272204121,526
12.0,1e-12,461,0.003005981191744264,507,0.018678585138878046,486,0.09082397629131914,510,0.3716046601031132,510,0.7823129259745255,510
14.0,1e-12,483,9.999999999999998e-13,504,0.008519004564942059,470,0.04410106627021646,447,0.21536373923403673,477,0.6109610897477386,423
16.0,9.999999999999998e-13,468,9.999999999999998e-13,407,0.0038110809344695214,467,0.01995986204870339,418,0.10844615630624169,468,0.4189960379595187,451
18.0,1e-12,427,1e-12,372,9.999999999999998e-13,409,0.00918230048311075,430,0.05237872528143986,399,0.25032123451594174,390
20.0,1e-12,370,1e-12,394,1e-12,387,0.00405056366114344,390,0.023773754002909066,362,0.1325286212310586,385
22.0,1e-12,353,9.999999999999998e-13,375,9.999999999999998e-13,348,0.00019049200975237784,362,0.011033320868453178,356,0.06307416954119248,374
24.0,1e-12,335,1e-12,360,9.999999999999998e-13,345,1e-12,339,0.004949580481743645,319,0.0294262759413737,345
26.0,1e-12,309,1e-12,339,1e-12,328,9.999999999999998e-13,319,0.0009847134934507528,325,0.01363428150559811,289
28.0,1e-12,288,1e-12,264,1e-12,259,9.999999999999998e-13,280,1e-12,293,0.006085363237236194,294
30.0,9.999999999999998e-13,255,1e-12,246,1e-12,263,9.999999999999998e-13,250,1e-12,231,0.0017700694345011043,241
32.0,1e-12,184,9.999999999999998e-13,210,1e-12,186,9.999999999999998e-13,199,1e-12,231,9.999999999999998e-13,212
34.0,9.999999999999998e-13,198,1e-12,186,9.999999999999998e-13,195,9.999999999999998e-13,191,9.999999999999998e-13,189,9.999999999999998e-13,196
36.0,1e-12,169,9.999999999999998e-13,140,9.999999999999998e-13,188,1e-12,160,9.999999999999998e-13,190,1e-12,170
38.0,9.999999999999998e-13,142,9.999999999999998e-13,189,9.999999999999998e-13,157,9.999999999999998e-13,182,1e-12,162,1e-12,169
40.0,1e-12,147,9.999999999999998e-13,140,1e-12,139,9.999999999999998e-13,151,9.999999999999998e-13,149,9.999999999999998e-13,135
42.0,1e-12,124,9.999999999999998e-13,111,1e-12,121,9.999999999999998e-13,126,1e-12,130,9.999999999999998e-13,108
44.0,9.999999999999998e-13,91,1e-12,96,9.999999999999998e-13,78,9.999999999999998e-13,86,9.999999999999998e-13,84,9.999999999999998e-13,86
46.0,1.0000000000000004e-12,47,1e-12,40,1e-12,41,1.0000000000000002e-12,35,1.0000000000000002e-12,31,1.0000000000000004e-12,55
48.0,1e-12,22,1e-12,15,1e-12,18,1e-12,24,1e-12,13,1e-12,24
50.0,1e-12,7,1e-12,6,1e-12,5,1e-12,2,1e-12,2,1e-12,9
